source,name,primary_language,all_languages,classification,antipatterns,last_activity,stars_or_commits,forks,description
github:hyperpolymath,checky-monkey,Nickel,"Just Shell Nickel Zig Idris Scheme Dockerfile",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-16T05:54:39Z,2,0,"Userscripts validation  security registry  and decentralized verification (Haskell + IPFS)"
github:hyperpolymath,boj-server-cartridges,Zig,"Idris Zig JavaScript Nickel Shell Gleam TypeScript Elixir ReScript Rust Just CSS HTML",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-16T02:14:47Z,2,1,"Canonical home of BoJ cartridges. Hosts (boj-server  panll) fetch from here on demand."
github:hyperpolymath,v3-templater,JavaScript,"JavaScript Just Shell Dockerfile Nickel Zig Scheme",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T20:22:54Z,2,0,"A modern  secure  and high-performance templating engine built with ReScript and Deno. Zero TypeScript  zero Node.js."
github:hyperpolymath,awesome-ipfs,JavaScript,"JavaScript",KILL,NODE_NOT_BUN,2026-07-15T20:22:49Z,1,0,"A curated list of awesome projects  tools and resources for IPFS"
github:hyperpolymath,jonathanjewell.dev,CSS,"CSS HTML",DONE,NONE,2026-07-15T20:21:29Z,1,0,""
github:hyperpolymath,lfs-shared,None,"",DONE,NONE,2026-07-15T20:21:11Z,2,0,"Central LFS store for cross-estate shared learning data"
github:hyperpolymath,tree-sitter-a2ml,C,"Python C++ JavaScript Rust Tree-sitter Query C Scheme Shell Just TypeScript",MIGRATE,UNVERIFIED_RUST DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T20:17:23Z,2,0,"Tree-sitter grammar for the A2ML (Attestation & Automation Markup Language) format"
github:hyperpolymath,zerostep,Julia,"Isabelle Nickel Julia Just Rust Dockerfile Shell Zig Scheme",CLEAN,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-15T20:17:14Z,3,0,"Normalize VAE-decoded image datasets for training AI artifact-detection models  with formal verification guarantees."
github:hyperpolymath,reposystem,Rust,"Just Ada Scheme Dockerfile Nickel Nix Rust Shell JavaScript HTML CSS ReScript Julia Elixir TypeScript Zig Idris CUE",MIGRATE,DENO_NOT_BUN NIX_PRESENT,2026-07-15T20:12:36Z,2,0,"Repository management and organization system for multi-repo development workflows"
github:hyperpolymath,project-wharf,Rust,"Just Nickel Rust Shell Dockerfile Scheme Go Template PHP",MIGRATE,UNVERIFIED_RUST,2026-07-15T20:12:27Z,3,0,"Project Wharf approaches Content Management System (CMS) security that separates administration from runtime. Instead of plugins with full system access running on your live site  Wharf uses an offline controller (the Wharf) and read-only runtime (the Yacht) connected via a Zero Trust mesh network."
github:hyperpolymath,ipv6-site-enforcer,Nickel,"Shell Nickel Just Scheme Haskell",DONE,NONE,2026-07-15T20:12:23Z,2,0,"IPv6 site enforcer — ensures web properties are reachable over IPv6"
github:hyperpolymath,bofig,Elixir,"Elixir Just Nickel Zig Idris Dockerfile CSS JavaScript HTML Scheme Shell",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T20:00:34Z,2,0,"Binary-Origami Figurator - evidence graph for investigative journalism with PROMPT scoring"
github:hyperpolymath,echidna,Rust,"Dockerfile Just Rust Agda Rocq Prover Isabelle Lean Shell Julia HTML ReScript CSS JavaScript Logtalk Scheme Zig C Common Lisp SMT Standard ML Chapel Idris Nickel Elixir Prolog ECL Forth Dune Alloy CUE OpenEdge ABL Gnuplot Objective-C++ F* Cap'n Proto Ada Dafny OCaml",MIGRATE,DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:59:49Z,4,0,"Neurosymbolic theorem proving platform with 48 prover backends. Mathematical identity system  backed by VersisimDB."
github:hyperpolymath,resource-record-fluctuator,Ada,"Ada Elixir Just Shell Scheme Nickel",DONE,NONE,2026-07-15T19:59:09Z,2,0,"DNS record randomization tool for deprecated HINFO and LOC records. Built with Ada for maximum security and type safety."
github:hyperpolymath,snapcreate,Nickel,"Scheme Nickel Shell Just",DONE,NONE,2026-07-15T19:58:37Z,2,0,"Snapcreate"
github:hyperpolymath,anamnesis,Elixir,"Julia Elixir Dune OCaml ReScript Just Shell Nickel Zig Scheme",MIGRATE,NIF_WITHOUT_SNIF DENO_NOT_BUN DIRECT_FFI_NO_HEXADECA,2026-07-15T19:58:32Z,2,0,"Conversation knowledge extraction and reconciliation for multi-LLM development workflows"
github:hyperpolymath,nextgen-language-evangeliser,JavaScript,"Scheme Just Nickel Shell HTML JavaScript Idris Zig",MIGRATE,DENO_NOT_BUN,2026-07-15T19:58:25Z,4,0,"Nexgen Language Evangeliser — educational toolkit for teaching coding through progressive code transformation"
github:hyperpolymath,somethings-fishy,Just,"Dockerfile Shell Scheme Nickel Just Rust Ada Idris Zig Agda Rocq Prover Lean TLA",CLEAN,DIRECT_FFI_NO_HEXADECA,2026-07-15T19:58:22Z,2,0,"Agent-autopsy forensic triage — reverse-constructs which agents edited a repo"
github:hyperpolymath,sanctify-php,Haskell,"Haskell Scheme Just PHP Nickel Shell",MIGRATE,NONE,2026-07-15T19:57:01Z,2,0,"Haskell-based PHP hardening and security analysis tool."
github:hyperpolymath,chimichanga,Elixir,"Elixir Just Rust Nickel Zig Shell Scheme",CLEAN,UNVERIFIED_RUST DIRECT_FFI_NO_HEXADECA,2026-07-15T19:56:57Z,2,0,"Munition - capability attenuation framework for sandboxed WASM execution in Elixir"
